Report Refresh Date,User Principal Name,Display Name,Is Deleted,Deleted Date,Has Exchange License,Has OneDrive License,Has SharePoint License,Has Skype For Business License,Has Yammer License,Has Teams License,Exchange Last Activity Date,OneDrive Last Activity Date,SharePoint Last Activity Date,Skype For Business Last Activity Date,Yammer Last Activity Date,Teams Last Activity Date,Exchange License Assign Date,OneDrive License Assign Date,SharePoint License Assign Date,Skype For Business License Assign Date,Yammer License Assign Date,Teams License Assign Date,Assigned Products
2022-06-13,65810C1D477CC90E0A4BFBE6EF9681E7,AD4EF34F331635AEB9B17755A4859F0C,False,,True,True,True,True,True,True,2022-06-13,2022-05-31,2022-06-01,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,60878349810314DDD2611EC7A1335D9A,0CC697573F61BA78B0920F974386A359,False,,True,True,True,True,True,True,2022-06-13,2022-06-09,2022-06-13,,,2022-06-13,2022-04-01,2022-04-01,2022-04-01,2022-03-27,2022-04-01,2022-04-01,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,008BE3B4AE0E6D4592A891C086500343,FD29265509A40BF5212746B458D9D21D,False,,True,True,True,True,True,True,2022-06-13,,,,,2022-05-28,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,8233D46FD74BC025D2D3725E4741F67B,7B7BC2512EE1FEDCD76BDC68926D4F7B,False,,False,True,True,False,True,True,,,2022-06-07,,,2022-04-01,,2022-04-01,2022-04-01,,2022-04-01,2022-04-01,MICROSOFT POWER AUTOMATE FREE+MICROSOFT TEAMS EXPLORATORY
2022-06-13,1D12937E68C787D9D3A49CD8B131CB04,AD0234829205B9033196BA818F7A872B,False,,True,True,True,True,True,True,2022-06-01,2022-04-09,2022-06-08,,,2022-06-02,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 BUSINESS BASIC
2022-06-13,2CC4569E0DFBB0A38B73EB657DC55A19,7A7E7AD51A02C0FA093BD5FE0C3E550E,False,,True,True,True,True,True,True,,,2022-05-06,,,2022-06-03,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,3017F401543F43C676B1DB8DD5881607,74C96549656FA608C00B3D9E984861FF,False,,True,True,True,True,True,True,2022-06-13,2022-05-31,2022-06-13,,,2022-06-13,2022-04-06,2022-04-06,2022-04-06,2022-04-06,2022-04-06,2022-04-06,MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 BUSINESS BASIC+POWER BI (FREE)
2022-06-13,4846B07802F0399DB33E61D002E7E7A4,B7F0295568F63F0965F12ECAEAE3CCDA,False,,True,True,True,True,True,True,2022-06-13,2022-06-09,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT POWER AUTOMATE FREE+MICROSOFT 365 BUSINESS BASIC
2022-06-13,7678FB2EFC7E61A5DA8A90D8DED97D6C,DEEEBC0668AA4A6B36F129218BD1565E,False,,True,True,True,True,True,True,2022-06-13,2022-06-13,2022-06-10,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,A00E7B9EEBD7ABE056B8D3D798A3C816,42CE0724BAF9766709CE49C005C12239,False,,True,True,True,True,True,True,2022-06-10,,,,,2022-06-09,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,D83C09EA02CC5F4AFBFCC50EE8CD4A3A,A574E78AF00107CB7F997E8EA1362608,False,,True,True,True,True,True,True,2022-06-10,2022-05-09,2022-06-10,,,2022-05-18,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,AC0DD62B2126E7A36095CB4A1B431489,6C4D9CD5946F01821F44707944FC06AE,False,,True,True,True,True,True,True,,,,,,,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,8B536BB146302D2275DB32ACE90EA61D,11EF39217865E162DCE1FBDA9BE9C921,False,,True,True,True,True,True,True,2022-06-12,2022-06-13,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,C2264F9B231551A49E62EC07D2C2D0FB,A3599153685507B94C8CB96C3D8BC7D7,False,,True,True,True,True,True,True,2022-06-13,2022-06-11,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,6C4DD3B7D865C739732DA51A58F9B0F2,2A3DC5EA449E75401B2CBAA386064426,False,,True,True,True,True,True,True,,,,,,,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,08670EF48043E082A6408EA4D49803F0,8362DF13FF165952E09B427E023CB336,False,,True,True,True,True,True,True,,,,,,,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,1BF762F6BA74FE2ACC7B8B66DC89A9D2,ECE5A35BE5AC694BDC4138F84ABA984E,False,,True,True,True,True,True,True,2022-06-13,,,,,,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,65F8C84A48ACD54F5E0678C2031539F3,77320714222849F127D7EF771F48E32F,False,,True,True,True,True,True,True,2022-06-13,2022-06-10,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,F3AC522741A2D12A113BBA0207E220C5,E69B5613C6EAF2BA7945CA105D41EC81,False,,True,True,True,True,True,True,2022-06-10,,2022-05-27,,,,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,A53C4BA353D69D12AFFABCD21BEC5040,0C6EE64055DB6CBF14FE7CDB94280AC0,False,,True,True,True,True,True,True,2022-06-13,2022-04-27,2022-05-24,,,2022-06-11,2022-03-29,2022-03-29,2022-03-29,2022-03-29,2022-03-29,2022-03-29,MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE+POWER BI (FREE)
2022-06-13,19862780D41479CBF084EE44C80CE5A4,63DFAF4F11ED30F35E84762B4B94E28D,False,,True,True,True,True,True,True,2022-06-11,2022-06-09,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,D1E69D28BF2C5BAAC705A230DA1AE34D,5645929D7699057EF63F3665526218DA,False,,True,True,True,True,True,True,2022-06-13,2022-04-19,2022-06-09,,,2022-06-09,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,FD70F953F8F60D9BBF8907F35AAC86A2,6D67706A757792BE5375706730F0BAF2,False,,True,True,True,True,True,True,2022-04-29,2022-06-04,2022-04-29,,,2022-06-10,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,3400E56938E07F4113128D2E9883C23A,A71458FEFD1599C29BDF57369C13930C,False,,True,True,True,True,True,True,2022-06-13,2022-06-01,2022-06-10,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,A82A96399EB93FADE57B6844CA9B2483,750974677409B5CEC4EF03A0A2E05AB1,False,,True,True,True,True,True,True,2022-06-13,,2022-05-05,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC
2022-06-13,BACF8257C764280619ADA4BA3CAE9E86,A869350AC3E000D8A063DB9969CB2E2F,False,,True,True,True,True,True,True,2022-06-13,2022-06-04,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
2022-06-13,359DAF1485D006476FF47C22744CA17D,85924F191186DFB4B43C85E036C8FCB9,False,,True,True,True,True,True,True,2022-06-12,2022-04-15,,,,,2022-04-15,2022-04-15,2022-04-15,2022-03-27,2022-04-15,2022-04-15,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE+MICROSOFT TEAMS EXPLORATORY
2022-06-13,877C12045CB5AB5EF2312E1F2B59A73C,237D7270BCE150E6A46C0AED17EA5C73,False,,True,True,True,True,True,True,2022-06-13,2022-06-08,2022-06-13,,,2022-06-13,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,2022-03-27,POWER BI (FREE)+MICROSOFT 365 BUSINESS BASIC+MICROSOFT POWER AUTOMATE FREE
